,name,code,value_count
0,서귀포시,39020,0
1,제주시,39010,0
2,합천군,38400,0
3,거창군,38390,0
4,함양군,38380,0
5,산청군,38370,0
6,하동군,38360,0
7,남해군,38350,0
8,고성군,38340,0
9,창녕군,38330,0
10,함안군,38320,0
11,의령군,38310,0
12,창원시진해구,38115,0
13,창원시마산회원구,38114,0
14,창원시마산합포구,38113,0
15,창원시성산구,38112,0
16,창원시의창구,38111,0
17,양산시,38100,0
18,거제시,38090,0
19,밀양시,38080,0
20,김해시,38070,0
21,사천시,38060,0
22,통영시,38050,0
23,진주시,38030,0
24,울릉군,37430,0
25,울진군,37420,0
26,봉화군,37410,0
27,예천군,37400,0
28,칠곡군,37390,0
29,성주군,37380,0
30,고령군,37370,0
31,청도군,37360,0
32,영덕군,37350,0
33,영양군,37340,0
34,청송군,37330,0
35,의성군,37320,0
36,군위군,37310,0
37,경산시,37100,0
38,문경시,37090,0
39,상주시,37080,0
40,영천시,37070,0
41,영주시,37060,0
42,구미시,37050,0
43,안동시,37040,0
44,김천시,37030,0
45,경주시,37020,0
46,포항시북구,37012,0
47,포항시남구,37011,0
48,신안군,36480,0
49,진도군,36470,0
50,완도군,36460,0
51,장성군,36450,0
52,영광군,36440,0
53,함평군,36430,0
54,무안군,36420,0
55,영암군,36410,0
56,해남군,36400,0
57,강진군,36390,0
58,장흥군,36380,0
59,화순군,36370,0
60,보성군,36360,0
61,고흥군,36350,0
62,구례군,36330,0
63,곡성군,36320,0
64,담양군,36310,0
65,광양시,36060,0
66,나주시,36040,0
67,순천시,36030,0
68,여수시,36020,0
69,목포시,36010,0
70,부안군,35380,0
71,고창군,35370,0
72,순창군,35360,0
73,임실군,35350,0
74,장수군,35340,0
75,무주군,35330,0
76,진안군,35320,0
77,완주군,35310,0
78,김제시,35060,0
79,남원시,35050,0
80,정읍시,35040,0
81,익산시,35030,0
82,군산시,35020,0
83,전주시덕진구,35012,0
84,전주시완산구,35011,0
85,태안군,34380,0
86,예산군,34370,0
87,홍성군,34360,0
88,청양군,34350,0
89,서천군,34340,0
90,부여군,34330,0
91,금산군,34310,0
92,당진시,34080,0
93,계룡시,34070,0
94,논산시,34060,0
95,서산시,34050,0
96,아산시,34040,0
97,보령시,34030,0
98,공주시,34020,0
99,천안시서북구,34012,0
100,천안시동남구,34011,0
101,증평군,33390,0
102,단양군,33380,0
103,음성군,33370,0
104,괴산군,33360,0
105,진천군,33350,0
106,영동군,33340,0
